Ranking,Athlete,Year,School,Mark,FeetMeet,Meet,Date,Wind
1,"Durr, JJ",SR-4,Wilmington (Ohio),19.90m,"65' 3.5""

Wittenberg Invitational

Feb 22, 2025",Wittenberg Invitational,"Feb 22, 2025"
2,"Anderson, Shane",SR-4,Monmouth (Ill.),19.88m,"65' 2.75""

Roger Haynes Invitational 2025

Feb 15, 2025",Roger Haynes Invitational 2025,"Feb 15, 2025"
3,"Slater, Chris",SR-4,Denison,19.81m,"65' 0""

Wittenberg Invitational

Feb 22, 2025",Wittenberg Invitational,"Feb 22, 2025"
4,"Borgan, Nathen",SR-4,Wilmington (Ohio),19.65m,"64' 5.75""

Tiffin University Robinson Family Open

Feb 15, 2025",Tiffin University Robinson Family Open,"Feb 15, 2025"
5,"Fritsch, Gavin",JR-3,Wis.-Oshkosh,19.63m,"64' 5""

Titan Challenge

Feb 22, 2025",Titan Challenge,"Feb 22, 2025"
6,"Sweigart, Michael",SR-4,Anderson (Ind.),19.04m,"62' 5.75""

Wildcat Open

Jan 31, 2025",Wildcat Open,"Jan 31, 2025"
7,"Toberman, Caleb",SR-4,Monmouth (Ill.),19.01m,"62' 4.5""

Roger Haynes Invitational 2025

Feb 15, 2025",Roger Haynes Invitational 2025,"Feb 15, 2025"
8,"Leal, Lucas",SR-4,Carthage,18.96m,"62' 2.5""

Firebird First Invitational

Jan 18, 2025",Firebird First Invitational,"Jan 18, 2025"
9,"Rose, Tyler",JR-3,Carthage,18.75m,"61' 6.25""

Tadd Metzger Invitational

Feb 7, 2025",Tadd Metzger Invitational,"Feb 7, 2025"
10,"Johnson, Jordan",SR-4,Rochester,18.65m,"61' 2.25""

Nazareth Alumni Opener Invitational

Dec 6, 2024",Nazareth Alumni Opener Invitational,"Dec 6, 2024"
11,"Owen, Reagan",JR-3,McMurry,18.57m,"60' 11.25""

10th Annual Russ Jewett Indoor Gorilla Classic

Feb 14, 2025",10th Annual Russ Jewett Indoor Gorilla Classic,"Feb 14, 2025"
12,"Baker, Chris",SR-4,Coe,18.55m,"60' 10.5""

Roger Haynes Invitational 2025

Feb 15, 2025",Roger Haynes Invitational 2025,"Feb 15, 2025"
